Index,Review,Cleaned_Review,Cleaned_Name,Severity,Urgency,Customer_Satisfaction,Review_Days,Response_Days,Predicted_Category,Probabilities,Mapped_Category,Hygiene,Food Quality,Atmosphere,Value for Money,Service Issue,Positive Review,Food Options,Review_Date
31,"The quality of food and service has gone worse, I felt like I was in a roadside mess. The management didn't know how to manage, there was a large group who were eating and throwing food near the buffet arrangement. Women were being pushed …",quality food service gone worse felt like roadside mess management didnt know manage large group eating throwing food near buffet arrangement women pushed,shabana fatima,Medium,Non-Urgent,No Response,210,-1,"['Poor customer service or staff behavior', 'Quality, taste, or freshness issues with food', 'Cleanliness or hygiene issues']","[0.9837181568145752, 0.9344044923782349, 0.8389976024627686]","['Service Issue', 'Food Quality', 'Hygiene']",1,1,0,0,1,0,0,10-04-2024
32,Worst experience food was spoiled(biryani) and manager was not good he is talking rudely with customers totally worst experience,worst experience food spoiledbiryani manager good talking rudely customers totally worst experience,vamala priya,High,Urgent,No Response,120,-1,"['Poor customer service or staff behavior', 'Quality, taste, or freshness issues with food']","[0.9950632452964783, 0.9811985492706299]","['Service Issue', 'Food Quality']",0,1,0,0,1,0,0,09-07-2024
33,"Very bad service and quality of food is not good
Mock tail is also very bad",bad service quality food good mock tail also bad,suresh kumar subramanian,High,Urgent,No Response,730,-1,"['Quality, taste, or freshness issues with food', 'Poor customer service or staff behavior']","[0.9911038279533386, 0.9859699606895447]","['Food Quality', 'Service Issue']",0,1,0,0,1,0,0,07-11-2022
34,Worst staff..one of worst places to visit...no service...no proper food,worst staffone worst places visitno serviceno proper food,shafi,High,Urgent,No Response,730,-1,"['Poor customer service or staff behavior', 'Limited food options or menu variety', 'Quality, taste, or freshness issues with food']","[0.9938048720359802, 0.9918846487998962, 0.990416944026947]","['Service Issue', 'Food Options', 'Food Quality']",0,1,0,0,1,0,1,07-11-2022
35,"Very slow service , no one bothered to attend for almost 40 mins. Unacceptable",slow service one bothered attend almost mins unacceptable,kpavan kumar,High,Urgent,No Response,90,-1,['Poor customer service or staff behavior'],[0.9951411485671997],['Service Issue'],0,0,0,0,1,0,0,08-08-2024
36,"Please have your lunch at home and go for this buffet..because

you dont get the starters on the table. …",please lunch home go buffetbecause dont get starters table,sateeshkumar singatam,Medium,Non-Urgent,High Satisfaction,240,240,"['Poor customer service or staff behavior', 'Quality, taste, or freshness issues with food', 'Concerns about pricing and value']","[0.9445240497589111, 0.932097852230072, 0.930822491645813]","['Service Issue', 'Food Quality', 'Value for Money']",0,1,0,1,1,0,0,11-03-2024
37,"I request everyone not to prefer this branch, i have visited AB's in lot of branches abd in lot of cities but here this branch is too worst. …",request everyone prefer branch visited abs lot branches abd lot cities branch worst,kosuri venkatesh,High,Urgent,High Satisfaction,240,240,"['Poor customer service or staff behavior', 'Ambiance, noise levels, or atmosphere concerns']","[0.937589704990387, 0.8009927868843079]","['Service Issue', 'Atmosphere']",0,0,1,0,1,0,0,11-03-2024
38,Extremely crowded on a Saturday evening. Reservation is a farce here. No control over the occupancy or service capacity vs reservation. …,extremely crowded saturday evening reservation farce control occupancy service capacity vs reservation,jaikish thamarasseril,High,Urgent,High Satisfaction,365,365,['Concerns about pricing and value'],[0.555551290512085],['Value for Money'],0,0,0,1,0,0,0,07-11-2023
39,We were not allowed to dine as the starters were finished and our reservation was cancelled on 1 st January 2024. We came all the way from 95 kilometers from vikarabad for celebrating 10th anniversary. We were left empty hands with no …,allowed dine starters finished reservation cancelled st january came way kilometers vikarabad celebrating th anniversary left empty hands,ahmed khan,Medium,Non-Urgent,High Satisfaction,270,270,"['Poor customer service or staff behavior', 'Limited food options or menu variety', 'Concerns about pricing and value']","[0.9757120013237, 0.941840648651123, 0.7989748120307922]","['Service Issue', 'Food Options', 'Value for Money']",0,0,0,1,1,0,1,10-02-2024
40,"1. Staff were very slow in delivering food and reason less staff
2.Management is completely failure i came and waited for 40 mins even i have booking …",staff slow delivering food reason less staff management completely failure came waited mins even booking,kolluri adityavinay,High,Urgent,High Satisfaction,240,240,['Poor customer service or staff behavior'],[0.9954667687416077],['Service Issue'],0,0,0,0,1,0,0,11-03-2024
41,Worst as always. They give burnt food everytime I visit,worst always give burnt food everytime visit,pravardh raguel,High,Urgent,No Response,60,-1,"['Quality, taste, or freshness issues with food', 'Poor customer service or staff behavior']","[0.9960182905197144, 0.9946750998497009]","['Food Quality', 'Service Issue']",0,1,0,0,1,0,0,07-09-2024
42,"Very poor service. Staff was not cooperative. Our slot was 2:30pm and we got the table at 3:15pm which was too late. Although we escalated to the manager, he was unresponsive. No water, no glasses,  no spoons or forks were given until we …",poor service staff cooperative slot pm got table pm late although escalated manager unresponsive water glasses spoons forks given,partha das,High,Urgent,High Satisfaction,365,365,['Poor customer service or staff behavior'],[0.9967498779296875],['Service Issue'],0,0,0,0,1,0,0,07-11-2023
43,"I visited this place yesterday June 14 for Dinner.

Place was overcrowded. Waiters were under Panic and unable to serve the guests …",visited place yesterday june dinner place overcrowded waiters panic unable serve guests,rohit kumar kalyankar,High,Urgent,High Satisfaction,365,365,"['Poor customer service or staff behavior', 'Ambiance, noise levels, or atmosphere concerns']","[0.9833499193191528, 0.9293871521949768]","['Service Issue', 'Atmosphere']",0,0,1,0,1,0,0,07-11-2023
44,"Visited for lunch on Sunday. Waiters serving starters are too busy to serve properly. Cleanliness isn't maintained. Buffet is in the passage and gets very congested.  Furniture, plates, etc feels old and needs a upgrade",visited lunch sunday waiters serving starters busy serve properly cleanliness isnt maintained buffet passage gets congested furniture plates etc feels old needs upgrade,mallikarjuna reddy gundlagutta,Medium,Non-Urgent,High Satisfaction,365,365,"['Cleanliness or hygiene issues', 'Poor customer service or staff behavior']","[0.9850680828094482, 0.9636045098304749]","['Hygiene', 'Service Issue']",1,0,0,0,1,0,0,07-11-2023
45,"I won't t recommend this. Now a days taste is not good overall items.
I",wont recommend days taste good overall items,rajesh chinthapatla,Low,Non-Urgent,High Satisfaction,1095,1095,"['Quality, taste, or freshness issues with food', 'Concerns about pricing and value', 'Limited food options or menu variety']","[0.977104902267456, 0.91526859998703, 0.7593005299568176]","['Food Quality', 'Value for Money', 'Food Options']",0,1,0,1,0,0,1,07-11-2021
46,"Before visiting this branch , please make sure u r able to tolerate staff's behaviour.
We booked a table and reached within the given time limit , but the concerned …",visiting branch please make sure u r able tolerate staffs behaviour booked table reached within given time limit concerned,joyita mukherjee,Low,Non-Urgent,High Satisfaction,365,365,['Poor customer service or staff behavior'],[0.9763286709785461],['Service Issue'],0,0,0,0,1,0,0,07-11-2023
47,"One of the Worst BBQ Experiance I ever Had 🤦‍♂️.
We were 18 PAX. I felt AB,'s connot handle  large groups.
BBQ : We were repeatedly requested for Chicken and Mutton kabab it never turned …",one worst bbq experiance ever pax felt abs connot handle large groups bbq repeatedly requested chicken mutton kabab never turned,pradeep reddy,High,Urgent,High Satisfaction,240,240,"['Poor customer service or staff behavior', 'Quality, taste, or freshness issues with food']","[0.9847894906997681, 0.8284150958061218]","['Service Issue', 'Food Quality']",0,1,0,0,1,0,0,11-03-2024
48,Very poor service and very crowded. Food was also not very good.,poor service crowded food also good,smriti saxena,Low,Non-Urgent,No Response,120,-1,"['Quality, taste, or freshness issues with food', 'Poor customer service or staff behavior', 'Ambiance, noise levels, or atmosphere concerns']","[0.9926479458808899, 0.9910905361175537, 0.9023008346557617]","['Food Quality', 'Service Issue', 'Atmosphere']",0,1,1,0,1,0,0,09-07-2024
49,"The food was very bad with very less varieties and also the service was too slow. We the 11 people been there and non of them were happy, neither vegetarian nor non vegetarian",food bad less varieties also service slow people non happy neither vegetarian non vegetarian,pravin kumar,Medium,Non-Urgent,No Response,1095,-1,"['Limited food options or menu variety', 'Quality, taste, or freshness issues with food', 'Poor customer service or staff behavior']","[0.9985514283180237, 0.9930003881454468, 0.9917340278625488]","['Food Options', 'Food Quality', 'Service Issue']",0,1,0,0,1,0,1,07-11-2021
50,Worst experience!!! There was no proper response from the servers and the hosts..... We visited the place as a team and it's totally waste of time... They lied to us saying that we will be getting discounts as we were a group of 13 people …,worst experience proper response servers hosts visited place team totally waste time lied us saying getting discounts group people,addanki sirisha,High,Urgent,High Satisfaction,240,240,"['Poor customer service or staff behavior', 'Concerns about pricing and value']","[0.9983360171318054, 0.9690035581588745]","['Service Issue', 'Value for Money']",0,0,0,1,1,0,0,11-03-2024
51,This place was horrible. The food was very bland and pathetic. I had serval cockroaches around me and crawling on me. There is definitely an infestation of bugs. I would never recommend this place and everyone should go to somewhere else instead.,place horrible food bland pathetic serval cockroaches around crawling definitely infestation bugs would never recommend place everyone go somewhere else instead,vaishnavi pulipati,High,Urgent,High Satisfaction,270,270,"['Quality, taste, or freshness issues with food', 'Limited food options or menu variety', 'Cleanliness or hygiene issues', 'Poor customer service or staff behavior', 'Concerns about pricing and value']","[0.9937044978141785, 0.9897607564926147, 0.9202155470848083, 0.872925341129303, 0.8399039506912231]","['Food Quality', 'Food Options', 'Hygiene', 'Service Issue', 'Value for Money']",1,1,0,1,1,0,1,10-02-2024
52,"Staff behavior is rude, and items are not served which they mentioned,  service is very poor, useless for group dine in this place",staff behavior rude items served mentioned service poor useless group dine place,balaji vallabhadasu,High,Urgent,High Satisfaction,730,730,['Poor customer service or staff behavior'],[0.9968821406364441],['Service Issue'],0,0,0,0,1,0,0,07-11-2022
53,"I have been to this place with my team of 11 members on 28th of this month. The Restaurant was soo rush and the staff was unable to handle them.
Though we have booked the number of seats, they have arranged a 8 seat table and …",place team members th month restaurant soo rush staff unable handle though booked number seats arranged seat table,sathya manasa,High,Urgent,High Satisfaction,365,365,['Poor customer service or staff behavior'],[0.9822476506233215],['Service Issue'],0,0,0,0,1,0,0,07-11-2023
54,"Worst service, servers won't respond at all even after calling them. There is a manager kind person who take cares of all bookings, we informed him but even he also doesn't called anyone to take care of my table. I'm not that selfish to …",worst service servers wont respond even calling manager kind person take cares bookings informed even also doesnt called anyone take care table im selfish,ajith kora,High,Urgent,High Satisfaction,365,365,['Poor customer service or staff behavior'],[0.998320460319519],['Service Issue'],0,0,0,0,1,0,0,07-11-2023
55,"I had a very bad experience here. None of my guests were happy with the food, same repeated menu, no taste and fewer varieties. …",bad experience none guests happy food repeated menu taste fewer varieties,shruthi murali mohan,Medium,Non-Urgent,High Satisfaction,365,365,"['Limited food options or menu variety', 'Quality, taste, or freshness issues with food', 'Poor customer service or staff behavior']","[0.9972679615020752, 0.9897989630699158, 0.8831082582473755]","['Food Options', 'Food Quality', 'Service Issue']",0,1,0,0,1,0,1,07-11-2023
56,"The food is full of oil and very spicy.
Cutlery is not cleaned. One can see stains on plates very clearly.
The barbecue on the table was not cleaned and I needed to ask to get it …",food full oil spicy cutlery cleaned one see stains plates clearly barbecue table cleaned needed ask get,rajiv podar,Low,Non-Urgent,High Satisfaction,270,270,"['Cleanliness or hygiene issues', 'Quality, taste, or freshness issues with food', 'Poor customer service or staff behavior']","[0.9807876348495483, 0.975176990032196, 0.9580589532852173]","['Hygiene', 'Food Quality', 'Service Issue']",1,1,0,0,1,0,0,10-02-2024
57,"There is No Taste of All Food Items, NOT AT ALL WORTHY.",taste food items worthy,sai agri corporation,Low,Non-Urgent,No Response,14,-1,"['Quality, taste, or freshness issues with food', 'Limited food options or menu variety']","[0.9428061246871948, 0.9351227879524231]","['Food Quality', 'Food Options']",0,1,0,0,0,0,1,23-10-2024
58,It’s just disgusting to eat in dirty plates and  to use dirty cutlery. Although being in restaurant business They don’t care about hygiene. …,disgusting eat dirty plates use dirty cutlery although restaurant business dont care hygiene,seetharaam krisshna,High,Urgent,High Satisfaction,365,365,"['Cleanliness or hygiene issues', 'Poor customer service or staff behavior']","[0.9789571762084961, 0.796103298664093]","['Hygiene', 'Service Issue']",1,0,0,0,1,0,0,07-11-2023
59,"Not at all good, service is very poor. Waiting time is a lot, for every request they are taking 15 min of time, even after waiting for 15 min we got half cooked food many times",good service poor waiting time lot every request taking min time even waiting min got half cooked food many times,mohammed hyder,Low,Non-Urgent,High Satisfaction,240,240,"['Poor customer service or staff behavior', 'Quality, taste, or freshness issues with food']","[0.9975439310073853, 0.9649156928062439]","['Service Issue', 'Food Quality']",0,1,0,0,1,0,0,11-03-2024
60,"Got the table after 20mins of waiting even after reservation.

Over crowded, not able to walk as well. They kept extra chairs in the walking …",got table mins waiting even reservation crowded able walk well kept extra chairs walking,arvind kumar,Low,Non-Urgent,High Satisfaction,365,365,"['Ambiance, noise levels, or atmosphere concerns', 'Poor customer service or staff behavior']","[0.9541988968849182, 0.9525390863418579]","['Atmosphere', 'Service Issue']",0,0,1,0,1,0,0,07-11-2023
61,"We visited ABs on last Friday along with our family members. We had really a bad experience in terms of lack of service and food. The staff is quite irresponsible in providing service. We were waiting for plates, bowls, spoons for more than …",visited abs last friday along family members really bad experience terms lack service food staff quite irresponsible providing service waiting plates bowls spoons,saishruthi p,High,Urgent,High Satisfaction,365,365,['Poor customer service or staff behavior'],[0.9965397119522095],['Service Issue'],0,0,0,0,1,0,0,07-11-2023
